Codigo;Matricula;Fecha_Matriculacion;Marca;Modelo;Tipo;Variante;Clasificacion_medioambiental;Combustible;Cilindrada;Potencia;Numero_Plazas;Fecha_inicio_prestacion_servicio_taxi;Eurotaxi;Regimen_Especial_Eurotaxi;Fecha_inicio_Regimen_Especial_Eurotaxi;Fecha_fin_Regimen_Especial_Eurotaxi;Fecha
1020144;2239DTJ;13/12/2005;SKODA;OCTAVIA;;;;DIESEL;0;12;;16/12/2005;NO;NO;;;12/11/2018
550016;6364FVW;14/12/2007;SEAT;TOLEDO;;;;DIESEL;0;12;;18/11/2008;NO;NO;;;12/11/2018
550115;4249GST;08/01/2010;SKODA;OCTAVIA;;;;DIESEL;0;12;;14/01/2010;NO;NO;;;12/11/2018
550142;1561GVY;27/04/2010;SKODA;OCTAVIA;;;;DIESEL;0;12;;01/03/2010;NO;NO;;;12/11/2018
550214;6296HBZ;28/02/2011;SKODA;OCTAVIA;1Z;AACAYCX01/NFM5;;DIESEL;0;11,64;;03/08/2012;NO;NO;;;12/11/2018
550241;9097GYH;16/08/2010;VOLKSWAGEN;PASSAT;3C;AACBBBX0/FM6FM6*******;;DIESEL;0;13;;10/01/2013;NO;NO;;;12/11/2018
550244;3091HJM;29/02/2012;PEUGEOT ;508;8;8D9HRB/PS;;DIESEL;0;82;;23/08/2013;NO;NO;;;12/11/2018
1198109;0800GZC;18/10/2010;CHEVROLET;EPICA;KLAL;LV3/134;B;DIESEL;1991;110;5;25/10/2010;NO;NO;;;12/11/2018
1196804;7686GYS;23/09/2010;CHEVROLET;EPICA;KLAL;LV1/111;C;GASOLINA TRANSFORMADO GLP;1993;105;5;04/10/2010;NO;NO;;;12/11/2018
1182347;5440GTD;02/02/2010;CHEVROLET;EPICA;KLAL;LV3/134;B;DIESEL;1991;110;5;04/02/2010;NO;NO;;;12/11/2018
1194793;2463GYJ;18/08/2010;CHEVROLET;EPICA;KLAL;LV3/134;B;DIESEL;1991;110;5;19/08/2010;NO;NO;;;12/11/2018
1181262;9246GSV;14/01/2010;CHEVROLET;EPICA;KLAL;LV3/134;B;DIESEL;1991;110;5;20/01/2010;NO;NO;;;12/11/2018
1385946;6871JGV;09/07/2015;CITROEN;C4 PICASSO;3;3DBHZ*;C;DIESEL;1560;88;5;13/07/2015;NO;NO;;;12/11/2018
1469525;9700JXY;05/03/2017;CITROEN;CITROEN C-ELYSEE;D;DBHY;C;DIESEL;1560;73;5;05/04/2017;NO;NO;;;12/11/2018
1428279;1948JPD;25/05/2016;CITROEN;CITROEN C-ELYSEE eco-glv;FECO2/1;FE15C;ECO;GLP / GASOLINA;1587;85;5;26/05/2016;NO;NO;;;12/11/2018
1506104;2235KHJ;07/02/2018;CITROEN;CITROEN C-ELYSEE eco-glv;F;FECE;ECO;GLP / GASOLINA;1587;85;5;12/02/2018;NO;NO;;;12/11/2018
1375194;4480JDB;06/03/2015;CITROEN;CITROEN C-ELYSEE eco-glv;FE-CO1/1;FE14C;ECO;GLP / GASOLINA;1587;85;5;06/03/2015;NO;NO;;;12/11/2018
